img_id,mAP@50:95,mAP@50,mAP@75,predicted_boxes,ground_truth_boxes
case0005_001.png,0.0,0.0,0.0,"[[327.68, 163.84, 604.16, 409.6]]","[[317.11572265625, 343.91038411458334, 557.7898600260417, 583.4922526041667]]"
case0005_002.png,N/A,N/A,N/A,[],"[[345.6, 354.1333333333333, 467.20000000000005, 533.3333333333333], [563.2, 364.8, 678.4000000000001, 524.8]]"
case0005_003.png,N/A,N/A,N/A,[],"[[309.3333333333333, 347.73333333333335, 488.5333333333333, 558.9333333333334], [520.5333333333333, 345.6, 731.7333333333333, 558.9333333333334]]"
case0012_001.png,0.19999999999999998,0.9999999999999999,0.0,"[[522.24, 296.96, 798.72, 614.4]]","[[552.215234375, 165.58426106770833, 817.3544270833333, 660.0525227864583]]"
case0012_002.png,0.0,0.0,0.0,"[[419.84, 266.24, 798.72, 604.16]]","[[520.7338541666667, 322.73492838541665, 737.1882486979166, 722.1546549479167]]"
case0012_003.png,0.0,0.0,0.0,"[[522.24, 327.68, 757.76, 614.4]]","[[505.0538736979167, 285.23639322916665, 801.7919921875, 825.0550455729167]]"
case0012_004.png,0.0,0.0,0.0,"[[522.24, 368.64, 757.76, 593.92]]","[[568.3541015625, 333.03893229166664, 792.8149088541667, 776.6869466145833]]"
case0012_005.png,0.0,0.0,0.0,"[[460.8, 276.48, 706.56, 389.12]]","[[480.85546875, 310.621875, 747.9552083333333, 776.5013346354167]]"
case0012_006.png,N/A,N/A,N/A,[],"[[528.6655924479167, 177.46774088541667, 766.2890625, 486.4106770833333]]"
case0018_001.png,N/A,N/A,N/A,[],"[[436.05546875, 458.20159505208335, 542.310400390625, 641.288525390625]]"
case0018_002.png,N/A,N/A,N/A,[],"[[448.4138671875, 454.83518880208334, 545.3055989583333, 621.2351888020834]]"
case0018_003.png,N/A,N/A,N/A,[],"[[473.39521484375, 422.29759114583334, 558.0458821614584, 493.4485270182292]]"
case0034_001.png,N/A,N/A,N/A,[],"[[397.58505859375, 575.4581380208333, 698.9269205729166, 888.31572265625]]"
case0034_002.png,0.0,0.0,0.0,"[[174.08, 573.44, 849.92, 808.96]]","[[398.93333333333334, 552.7338541666667, 694.57919921875, 871.04423828125]]"
case0034_003.png,0.19999999999999998,0.9999999999999999,0.0,"[[389.12, 604.16, 686.08, 839.68]]","[[360.5546549479167, 577.7109375, 707.83359375, 922.85654296875]]"
case0034_004.png,N/A,N/A,N/A,[],"[[366.93333333333334, 578.1333333333333, 750.9333333333334, 851.2], [571.7333333333333, 369.06666666666666, 738.1333333333333, 522.6666666666666], [285.8666666666667, 394.6666666666667, 386.1333333333333, 512.0]]"
case0034_005.png,N/A,N/A,N/A,[],"[[554.0821614583333, 411.21279296874997, 810.2954915364583, 624.6741210937499]]"
case0043_001.png,N/A,N/A,N/A,[],"[[543.34677734375, 282.96845703125, 743.9377115885417, 761.8228515625], [247.49640299479165, 508.598828125, 437.82172851562495, 795.5129557291666]]"
case0043_002.png,N/A,N/A,N/A,[],"[[586.7178385416667, 316.2794596354167, 745.727978515625, 722.6367838541667], [232.772265625, 215.330126953125, 467.3535970052083, 820.3775878906249]]"
case0043_003.png,N/A,N/A,N/A,[],"[[272.5226725260417, 345.35680338541664, 396.59947102864584, 714.8245442708333], [592.3251302083333, 322.809375, 742.9896647135417, 727.3405598958334]]"
case0043_004.png,N/A,N/A,N/A,[],"[[269.30133463541665, 231.44532877604166, 779.6117187499999, 484.4671875]]"
case0043_005.png,N/A,N/A,N/A,[],"[[272.21119791666666, 347.73333333333335, 411.3109375, 698.4021484375], [571.27890625, 317.021875, 741.9562337239583, 677.89228515625]]"
case0054_001.png,N/A,N/A,N/A,[],"[[477.8666666666667, 573.3205078125, 570.6922688802083, 624.0255737304688]]"
case0061_001.png,0.0,0.0,0.0,"[[286.72, 163.84, 583.68, 440.32]]","[[295.62880859375, 214.32319335937498, 707.0890625, 812.0660970052082]]"
case0061_002.png,0.0,0.0,0.0,"[[471.04, 184.32, 583.68, 327.68]]","[[384.8533203125, 44.98773193359375, 797.0474609375, 814.0970418294271]]"
case0070_001.png,N/A,N/A,N/A,[],"[[421.09013671875, 590.4255859375, 577.7429361979166, 720.6335856119792]]"
case0070_002.png,0.0,0.0,0.0,"[[512.0, 501.76, 624.64, 716.8]]","[[468.8767903645833, 612.2666666666667, 560.26025390625, 671.5647989908854]]"
case0070_003.png,N/A,N/A,N/A,[],"[[450.1333333333333, 580.2666666666667, 539.7333333333333, 644.2666666666667]]"
case0070_004.png,N/A,N/A,N/A,[],"[[441.59999999999997, 610.1333333333333, 537.5999999999999, 823.4666666666667]]"
case0070_005.png,N/A,N/A,N/A,[],"[[433.92213541666666, 671.0591796875, 531.2, 822.6218424479166]]"
case0070_006.png,N/A,N/A,N/A,[],"[[456.08961588541666, 706.1333333333333, 504.5120157877604, 811.4111979166667]]"
case0070_007.png,N/A,N/A,N/A,[],"[[456.5333333333333, 622.9333333333333, 524.8, 806.4]]"
case0070_008.png,N/A,N/A,N/A,[],"[[586.21015625, 582.3360026041667, 693.4400227864583, 700.6037353515625]]"
case0070_009.png,N/A,N/A,N/A,[],"[[549.2053385416666, 586.6154947916666, 602.7434733072917, 661.3845621744791]]"
case0070_010.png,N/A,N/A,N/A,[],"[[576.0, 601.6, 631.4666666666667, 708.2666666666667]]"
case0070_011.png,N/A,N/A,N/A,[],"[[550.81171875, 525.6341471354167, 672.8767822265625, 691.7077473958334]]"
case0080_001.png,N/A,N/A,N/A,[],"[[332.8, 409.6, 435.20000000000005, 539.7333333333333], [573.8666666666667, 413.8666666666667, 678.4, 550.4]]"
case0080_002.png,0.0,0.0,0.0,"[[399.36, 430.08, 522.24, 614.4]]","[[569.0559895833334, 414.0671875, 687.5775878906251, 563.1999837239583], [341.5338541666667, 412.6783854166667, 456.5333170572917, 559.6778483072917]]"
case0080_003.png,N/A,N/A,N/A,[],"[[425.9351888020833, 467.04638671875, 643.19384765625, 635.784521484375]]"
case0080_004.png,N/A,N/A,N/A,[],"[[332.8, 413.8666666666667, 443.73333333333335, 569.6], [571.7333333333333, 426.6666666666667, 682.6666666666667, 576.0]]"
case0080_005.png,N/A,N/A,N/A,[],"[[352.0, 339.2, 456.5333333333333, 452.26666666666665], [563.2, 352.0, 682.6666666666667, 465.06666666666666]]"
case0080_006.png,N/A,N/A,N/A,[],"[[459.639453125, 465.49973958333334, 631.867724609375, 583.6778727213541]]"
case0088_001.png,0.0,0.0,0.0,"[[122.88, 378.88, 491.52, 614.4]]","[[43.997867838541666, 159.59039713541665, 298.530126953125, 602.9994791666666]]"
case0088_002.png,N/A,N/A,N/A,[],"[[53.72586669921875, 82.03946940104167, 306.85866292317706, 589.124267578125]]"
case0088_003.png,N/A,N/A,N/A,[],"[[19.2, 140.8, 255.99999999999997, 618.6666666666667]]"
case0088_004.png,N/A,N/A,N/A,[],"[[123.6650634765625, 0.015871999661127727, 446.3957275390625, 824.4212105413278]]"
case0106_001.png,0.0,0.0,0.0,"[[481.28, 399.36, 634.88, 593.92]]","[[461.03893229166664, 504.50774739583335, 615.2021321614583, 688.076806640625]]"
case0106_002.png,0.0,0.0,0.0,"[[430.08, 399.36, 624.64, 593.92]]","[[462.23359375, 499.09759114583335, 595.4047932942708, 662.4767903645834]]"
case0106_003.png,0.0,0.0,0.0,"[[419.84, 532.48, 645.12, 716.8]]","[[285.0538736979167, 467.2, 755.1466796875, 811.9338541666666]]"
case0106_004.png,0.0,0.0,0.0,"[[471.04, 532.48, 727.04, 819.2]]","[[311.8080078125, 456.3797200520833, 740.8639973958334, 806.2122395833333]]"
case0113_001.png,0.0,0.0,0.0,"[[215.04, 389.12, 460.8, 614.4]]","[[243.592529296875, 391.6629231770833, 317.8666666666667, 468.4842529296875]]"
case0113_002.png,0.0,0.0,0.0,"[[215.04, 358.4, 491.52, 614.4]]","[[205.60639648437498, 372.9194661458333, 311.53066406249997, 468.0704020182292]]"
case0113_003.png,0.0,0.0,0.0,"[[481.28, 573.44, 849.92, 716.8]]","[[561.0666666666666, 686.9333333333333, 721.0666666666666, 789.3333333333333]]"
case0115_001.png,0.29999999999999993,0.9999999999999999,0.0,"[[266.24, 317.44, 481.28, 512.0]]","[[216.41173502604167, 331.71201171875, 494.933349609375, 548.2666829427083]]"
case0115_002.png,0.0,0.0,0.0,"[[317.44, 430.08, 583.68, 614.4]]","[[328.5333333333333, 443.73333333333335, 420.26666666666665, 541.8666666666667]]"
case0115_003.png,N/A,N/A,N/A,[],"[[262.08033854166666, 357.3141276041667, 764.6595377604167, 817.5103841145833]]"
case0115_004.png,N/A,N/A,N/A,[],"[[331.07838541666666, 341.1029296875, 663.9210611979167, 746.6453450520834]]"
case0115_005.png,0.0,0.0,0.0,"[[348.16, 296.96, 522.24, 614.4]]","[[320.37119140625, 282.38505859375, 457.40372721354163, 450.54718424479165]]"
case0115_006.png,0.0,0.0,0.0,"[[286.72, 378.88, 419.84, 512.0]]","[[320.0, 358.4, 409.6, 448.0]]"
case0115_007.png,0.0,0.0,0.0,"[[266.24, 399.36, 419.84, 512.0]]","[[263.688525390625, 391.6778645833333, 500.87892252604166, 628.4352050781249]]"
case0127_001.png,N/A,N/A,N/A,[],"[[315.73333333333335, 328.5333333333333, 445.8666666666667, 586.6666666666666], [529.0666666666666, 320.0, 667.7333333333332, 582.4]]"
case0127_002.png,N/A,N/A,N/A,[],"[[433.9114583333333, 486.4, 602.0437174479166, 599.8890706380208]]"
case0127_003.png,N/A,N/A,N/A,[],"[[461.03893229166664, 515.5669270833333, 579.9253336588541, 627.2511962890625]]"
case0135_001.png,N/A,N/A,N/A,[],"[[372.48854166666666, 441.5893229166667, 638.7221354166667, 625.9114583333334]]"
case0135_002.png,N/A,N/A,N/A,[],"[[383.59892578125, 530.1546549479167, 645.61279296875, 728.0106608072917]]"
case0135_003.png,N/A,N/A,N/A,[],"[[374.5322591145833, 497.52320963541666, 604.710400390625, 691.635205078125]]"
case0135_004.png,N/A,N/A,N/A,[],"[[341.3333333333333, 430.93333333333334, 620.8, 635.7333333333333]]"
case0135_005.png,N/A,N/A,N/A,[],"[[342.016015625, 404.53118489583335, 662.5792317708333, 624.2303873697917]]"
case0135_006.png,0.0,0.0,0.0,"[[460.8, 399.36, 624.64, 716.8]]","[[369.8517252604167, 413.06451822916665, 635.5967936197917, 621.6021158854167]]"
case0150_001.png,0.0,0.0,0.0,"[[358.4, 430.08, 624.64, 716.8]]","[[375.45598958333335, 388.27734375, 484.27731933593753, 577.7109375]]"
case0150_002.png,N/A,N/A,N/A,[],"[[377.5893229166667, 378.85654296875, 465.9327880859375, 573.856005859375]]"
case0150_003.png,N/A,N/A,N/A,[],"[[374.22923177083334, 414.27838541666665, 468.1278971354167, 598.1994466145833]]"
case0150_004.png,N/A,N/A,N/A,[],"[[359.7823893229167, 349.16692708333335, 457.33545735677086, 614.0586588541667]]"
case0200_001.png,N/A,N/A,N/A,[],"[[419.85279947916666, 469.31201171875, 610.1546712239583, 615.3130859375]]"
case0208_001.png,N/A,N/A,N/A,[],"[[363.5221354166667, 244.06612955729167, 476.57813313802086, 395.94453125]]"
case0212_001.png,N/A,N/A,N/A,[],"[[337.41865234375, 191.57760416666667, 893.4229492187501, 791.0229166666667]]"
case0212_002.png,0.0,0.0,0.0,"[[122.88, 378.88, 460.8, 696.32]]","[[592.6549479166666, 335.31305338541665, 947.1786783854166, 784.1472005208334], [36.710400390625, 312.36481119791665, 385.77491861979166, 840.4373372395833]]"
case0212_003.png,N/A,N/A,N/A,[],"[[258.1333333333333, 330.6666666666667, 465.06666666666666, 580.2666666666667], [541.8666666666667, 337.06666666666666, 765.8666666666667, 588.8]]"
case0212_004.png,N/A,N/A,N/A,[],"[[556.8, 413.8666666666667, 780.8, 614.4], [270.93333333333334, 416.0, 437.33333333333337, 597.3333333333334]]"
case0246_001.png,0.0,0.0,0.0,"[[122.88, 368.64, 491.52, 583.68]]","[[312.3029296875, 296.22613932291665, 666.8970703125001, 628.0533528645833]]"
case0247_001.png,0.0,0.0,0.0,"[[184.32, 256.0, 378.88, 409.6]]","[[220.23466796875, 88.7274658203125, 781.5594726562499, 898.0330647786459]]"
case0255_001.png,N/A,N/A,N/A,[],"[[729.1669270833333, 106.66666666666667, 921.5893229166667, 280.723193359375]]"
case0255_002.png,N/A,N/A,N/A,[],"[[700.9427083333334, 101.51492513020833, 912.8595052083333, 308.209326171875]]"
case0255_003.png,0.0,0.0,0.0,"[[604.16, 143.36, 686.08, 204.8]]","[[701.8666666666667, 104.53333333333333, 915.2, 266.66666666666663]]"
case0274_001.png,0.0,0.0,0.0,"[[194.56, 266.24, 460.8, 716.8]]","[[147.2, 91.73333333333333, 704.0, 588.8], [582.4, 605.8666666666667, 753.0666666666666, 878.9333333333334], [727.4666666666667, 352.0, 878.9333333333334, 599.4666666666667]]"
case0274_002.png,0.0,0.0,0.0,"[[174.08, 286.72, 665.6, 501.76]]","[[179.68938802083332, 277.1214192708333, 877.1315104166666, 776.5646158854166]]"
case0275_001.png,N/A,N/A,N/A,[],"[[68.26666666666667, 330.6666666666667, 339.2, 669.8666666666667], [746.6666666666666, 471.46666666666664, 949.3333333333333, 721.0666666666666], [469.3333333333333, 290.1333333333333, 571.7333333333333, 665.5999999999999]]"
case0275_002.png,N/A,N/A,N/A,[],"[[178.73492838541665, 79.66079915364583, 586.2975911458334, 408.7018798828125]]"
case0277_001.png,0.0,0.0,0.0,"[[174.08, 235.52, 501.76, 512.0]]","[[300.2559895833333, 8.533333333333333, 560.9663899739583, 273.3674641927084]]"
case0277_002.png,0.0,0.0,0.0,"[[204.8, 143.36, 573.44, 378.88]]","[[318.28053385416666, 2.98240000406901, 583.2703938802083, 279.8591903686523]]"
case0277_003.png,0.0,0.0,0.0,"[[184.32, 256.0, 645.12, 501.76]]","[[313.10081380208334, 291.39625651041666, 601.6213541666666, 543.1722493489583]]"
case0277_004.png,N/A,N/A,N/A,[],"[[129.70384928385417, 10.06361592610677, 714.8046305338542, 293.8182708740234]]"
